Date,Day,Total Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
10/11/2025,Monday,1739.6101269481871,0.0,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
11/11/2025,Tuesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
12/11/2025,Wednesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
13/11/2025,Thursday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
14/11/2025,Friday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
15/11/2025,Saturday,1759.0109833825536,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328
16/11/2025,Sunday,1015.3114867318416,6.4669521447888005,12.933904289577601,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4669521447888005,19.4008564343664,12.933904289577601,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,33.989473499990396,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,12.933904289577601
17/11/2025,Monday,1739.6101269481871,0.0,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
18/11/2025,Tuesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
19/11/2025,Wednesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
20/11/2025,Thursday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
21/11/2025,Friday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
22/11/2025,Saturday,1759.0109833825536,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328
23/11/2025,Sunday,1015.3114867318416,6.4669521447888005,12.933904289577601,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4669521447888005,19.4008564343664,12.933904289577601,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,33.989473499990396,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,12.933904289577601
24/11/2025,Monday,1739.6101269481871,0.0,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
25/11/2025,Tuesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
26/11/2025,Wednesday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
27/11/2025,Thursday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
28/11/2025,Friday,1752.5440312377648,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,32.334760723944
29/11/2025,Saturday,1759.0109833825536,0.0,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,12.933904289577601,12.933904289577601,19.4008564343664,32.334760723944,38.8017128687328,38.8017128687328,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,51.7356171583104,45.2686650135216,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328,38.8017128687328
30/11/2025,Sunday,1015.3114867318416,6.4669521447888005,12.933904289577601,12.933904289577601,6.4669521447888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4669521447888005,19.4008564343664,12.933904289577601,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,27.522521355201597,37.1470000926864,33.989473499990396,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,25.8678085791552,12.933904289577601
